accuracy,loss,val_accuracy,val_loss,epoch,variant
0.6041666865348816,0.9703760147094727,0.5833333134651184,0.9369434714317322,1,03_mlp_tanh
0.6875,0.8560646176338196,0.625,0.8541140556335449,2,03_mlp_tanh
0.6979166865348816,0.7623997330665588,0.6666666865348816,0.7860894799232483,3,03_mlp_tanh
0.8020833134651184,0.6869489550590515,0.75,0.7310736775398254,4,03_mlp_tanh
0.8333333134651184,0.6268627047538757,0.75,0.6865738034248352,5,03_mlp_tanh
0.84375,0.5789140462875366,0.7916666865348816,0.6501830220222473,6,03_mlp_tanh
0.84375,0.5402337908744812,0.7916666865348816,0.6199290752410889,7,03_mlp_tanh
0.84375,0.5085604786872864,0.8333333134651184,0.5943202376365662,8,03_mlp_tanh
0.8541666865348816,0.4822100102901459,0.8333333134651184,0.5722668170928955,9,03_mlp_tanh
0.8541666865348816,0.45995351672172546,0.8333333134651184,0.5529799461364746,10,03_mlp_tanh
0.8541666865348816,0.44089487195014954,0.8333333134651184,0.5358850359916687,11,03_mlp_tanh
0.8541666865348816,0.4243733882904053,0.8333333134651184,0.5205564498901367,12,03_mlp_tanh
0.84375,0.40989363193511963,0.8333333134651184,0.5066733956336975,13,03_mlp_tanh
0.8645833134651184,0.39707812666893005,0.8333333134651184,0.49398866295814514,14,03_mlp_tanh
0.875,0.3856336176395416,0.8333333134651184,0.4823080003261566,15,03_mlp_tanh
0.875,0.3753291070461273,0.8333333134651184,0.4714761972427368,16,03_mlp_tanh
0.875,0.3659798800945282,0.8333333134651184,0.46136727929115295,17,03_mlp_tanh
0.875,0.3574366569519043,0.8333333134651184,0.4518778622150421,18,03_mlp_tanh
0.875,0.34957751631736755,0.8333333134651184,0.44292211532592773,19,03_mlp_tanh
0.875,0.34230199456214905,0.8333333134651184,0.4344283640384674,20,03_mlp_tanh
0.875,0.3355269134044647,0.875,0.42633628845214844,21,03_mlp_tanh
0.875,0.3291826546192169,0.875,0.4185948371887207,22,03_mlp_tanh
0.875,0.3232109248638153,0.875,0.41116079688072205,23,03_mlp_tanh
0.875,0.31756260991096497,0.9166666865348816,0.40399742126464844,24,03_mlp_tanh
0.8854166865348816,0.3121959865093231,0.9166666865348816,0.39707326889038086,25,03_mlp_tanh
0.8854166865348816,0.30707573890686035,0.9166666865348816,0.3903614580631256,26,03_mlp_tanh
0.8854166865348816,0.3021717071533203,0.9166666865348816,0.38383904099464417,27,03_mlp_tanh
0.8854166865348816,0.29745814204216003,0.9166666865348816,0.3774864673614502,28,03_mlp_tanh
0.8854166865348816,0.29291287064552307,0.9166666865348816,0.3712868392467499,29,03_mlp_tanh
0.8854166865348816,0.2885170876979828,0.9166666865348816,0.36522576212882996,30,03_mlp_tanh
0.8958333134651184,0.28425437211990356,0.9166666865348816,0.3592909276485443,31,03_mlp_tanh
0.8958333134651184,0.28011074662208557,0.9166666865348816,0.35347190499305725,32,03_mlp_tanh
0.8958333134651184,0.27607402205467224,0.9166666865348816,0.34775975346565247,33,03_mlp_tanh
0.8958333134651184,0.27213385701179504,0.9166666865348816,0.3421468734741211,34,03_mlp_tanh
0.8958333134651184,0.2682811915874481,0.9166666865348816,0.336626797914505,35,03_mlp_tanh
0.8958333134651184,0.26450830698013306,0.9166666865348816,0.3311942517757416,36,03_mlp_tanh
0.8958333134651184,0.26080843806266785,0.9166666865348816,0.3258447051048279,37,03_mlp_tanh
0.8958333134651184,0.25717592239379883,0.9166666865348816,0.3205743730068207,38,03_mlp_tanh
0.8958333134651184,0.25360575318336487,0.9166666865348816,0.3153802752494812,39,03_mlp_tanh
0.90625,0.2500937581062317,0.9166666865348816,0.31025996804237366,40,03_mlp_tanh
0.90625,0.2466362565755844,0.9166666865348816,0.3052113950252533,41,03_mlp_tanh
0.90625,0.24323026835918427,0.9166666865348816,0.3002331554889679,42,03_mlp_tanh
0.9166666865348816,0.23987312614917755,0.9166666865348816,0.29532408714294434,43,03_mlp_tanh
0.9166666865348816,0.23656274378299713,0.9166666865348816,0.29048335552215576,44,03_mlp_tanh
0.9166666865348816,0.23329730331897736,0.9166666865348816,0.28571048378944397,45,03_mlp_tanh
0.9166666865348816,0.23007528483867645,0.9166666865348816,0.2810051143169403,46,03_mlp_tanh
0.9166666865348816,0.22689545154571533,0.9583333134651184,0.2763672173023224,47,03_mlp_tanh
0.9166666865348816,0.22375690937042236,0.9583333134651184,0.2717968225479126,48,03_mlp_tanh
0.9166666865348816,0.22065883874893188,0.9583333134651184,0.2672940790653229,49,03_mlp_tanh
0.9166666865348816,0.2176007479429245,0.9583333134651184,0.2628592550754547,50,03_mlp_tanh
0.9166666865348816,0.21458208560943604,0.9583333134651184,0.2584928274154663,51,03_mlp_tanh
0.9166666865348816,0.21160268783569336,0.9583333134651184,0.25419512391090393,52,03_mlp_tanh
0.9166666865348816,0.2086622714996338,0.9583333134651184,0.249966561794281,53,03_mlp_tanh
0.9166666865348816,0.20576083660125732,0.9583333134651184,0.24580764770507812,54,03_mlp_tanh
0.9166666865348816,0.2028982788324356,0.9583333134651184,0.2417188137769699,55,03_mlp_tanh
0.9166666865348816,0.2000746876001358,0.9583333134651184,0.2377004623413086,56,03_mlp_tanh
0.9166666865348816,0.19729018211364746,0.9166666865348816,0.23375295102596283,57,03_mlp_tanh
0.9270833134651184,0.1945447474718094,0.9166666865348816,0.22987671196460724,58,03_mlp_tanh
0.9270833134651184,0.19183869659900665,0.9166666865348816,0.22607199847698212,59,03_mlp_tanh
0.9270833134651184,0.18917204439640045,0.9166666865348816,0.22233904898166656,60,03_mlp_tanh
0.9270833134651184,0.18654505908489227,0.9166666865348816,0.2186780720949173,61,03_mlp_tanh
0.9270833134651184,0.1839577555656433,0.9166666865348816,0.2150890827178955,62,03_mlp_tanh
0.9375,0.18141035735607147,0.9166666865348816,0.21157221496105194,63,03_mlp_tanh
0.9375,0.17890293896198273,0.9166666865348816,0.20812731981277466,64,03_mlp_tanh
0.9375,0.17643563449382782,0.9166666865348816,0.2047543078660965,65,03_mlp_tanh
0.9375,0.17400844395160675,0.9166666865348816,0.20145303010940552,66,03_mlp_tanh
0.9375,0.17162150144577026,0.9166666865348816,0.19822311401367188,67,03_mlp_tanh
0.9375,0.1692747324705124,0.9166666865348816,0.19506418704986572,68,03_mlp_tanh
0.9375,0.16696815192699432,0.9166666865348816,0.19197587668895721,69,03_mlp_tanh
0.9375,0.1647016853094101,0.9583333134651184,0.18895764648914337,70,03_mlp_tanh
0.9479166865348816,0.16247524321079254,0.9583333134651184,0.18600888550281525,71,03_mlp_tanh
0.9479166865348816,0.1602887064218521,0.9583333134651184,0.1831289678812027,72,03_mlp_tanh
0.9479166865348816,0.1581418514251709,0.9583333134651184,0.18031716346740723,73,03_mlp_tanh
0.9479166865348816,0.15603451430797577,0.9583333134651184,0.17757266759872437,74,03_mlp_tanh
0.9479166865348816,0.15396644175052643,0.9583333134651184,0.17489473521709442,75,03_mlp_tanh
0.9479166865348816,0.15193738043308258,0.9583333134651184,0.1722823828458786,76,03_mlp_tanh
0.9479166865348816,0.14994698762893677,0.9583333134651184,0.16973470151424408,77,03_mlp_tanh
0.9479166865348816,0.14799495041370392,0.9583333134651184,0.16725076735019684,78,03_mlp_tanh
0.9479166865348816,0.14608092606067657,0.9583333134651184,0.1648295670747757,79,03_mlp_tanh
0.9479166865348816,0.14420448243618011,0.9583333134651184,0.16246996819972992,80,03_mlp_tanh
0.9479166865348816,0.1423652172088623,0.9583333134651184,0.16017095744609833,81,03_mlp_tanh
0.9479166865348816,0.14056265354156494,0.9583333134651184,0.15793146193027496,82,03_mlp_tanh
0.9479166865348816,0.1387963742017746,0.9583333134651184,0.15575027465820312,83,03_mlp_tanh
0.9583333134651184,0.1370658278465271,0.9583333134651184,0.15362636744976044,84,03_mlp_tanh
0.9583333134651184,0.13537058234214783,0.9583333134651184,0.15155842900276184,85,03_mlp_tanh
0.9583333134651184,0.13371004164218903,0.9583333134651184,0.14954540133476257,86,03_mlp_tanh
0.9583333134651184,0.1320837438106537,0.9583333134651184,0.14758609235286713,87,03_mlp_tanh
0.9583333134651184,0.13049106299877167,0.9583333134651184,0.14567933976650238,88,03_mlp_tanh
0.9583333134651184,0.12893152236938477,0.9583333134651184,0.14382387697696686,89,03_mlp_tanh
0.96875,0.12740443646907806,0.9583333134651184,0.14201860129833221,90,03_mlp_tanh
0.96875,0.12590935826301575,0.9583333134651184,0.14026235044002533,91,03_mlp_tanh
0.96875,0.1244456097483635,0.9583333134651184,0.1385539025068283,92,03_mlp_tanh
0.96875,0.12301263213157654,0.9583333134651184,0.13689212501049042,93,03_mlp_tanh
0.96875,0.12160984426736832,0.9583333134651184,0.13527585566043854,94,03_mlp_tanh
0.96875,0.12023662775754929,0.9583333134651184,0.13370396196842194,95,03_mlp_tanh
0.96875,0.11889240890741348,0.9583333134651184,0.13217532634735107,96,03_mlp_tanh
0.96875,0.11757659912109375,0.9583333134651184,0.1306888312101364,97,03_mlp_tanh
0.96875,0.11628859490156174,0.9583333134651184,0.12924335896968842,98,03_mlp_tanh
0.96875,0.11502780765295029,0.9583333134651184,0.1278378963470459,99,03_mlp_tanh
0.96875,0.11379363387823105,0.9583333134651184,0.12647129595279694,100,03_mlp_tanh
